mesa registrados votaron pro eco blanco impugnado nulo recurrido tecnico
116 347 217 77.67 20 2.33 0 0.93 0 0
117 345 198 75.25 21.72 3.03 0 0 0 0
118 348 228 75.88 20.61 3.51 0 0 0 0
119 348 214 75.12 23.47 1.41 0 0.47 0 0
120 347 228 79.39 18.86 1.75 0 0 0 0
121 349 212 79.15 18.96 1.9 0 0.47 0 0
122 348 220 76.04 20.28 3.69 0 0.46 0 0.92
123 349 219 76.71 21.92 1.37 0 0 0 0
124 347 220 81.82 16.36 1.82 0 0 0 0
125 348 223 79.82 18.83 1.35 0 0 0 0
126 348 219 82.41 15.28 2.31 0 0.46 0 0.93
127 347 200 80.5 18 1.5 0 0 0 0
128 348 233 80.26 17.54 2.19 0 2.19 0 0
129 347 224 81.08 17.57 1.35 0 0.9 0 0
130 348 208 77.88 19.23 2.88 0 0 0 0
131 347 211 76.19 21.9 1.9 0 0.48 0 0
132 347 215 75.35 20.47 4.19 0 0 0 0
133 347 216 68.06 26.85 5.09 0 0 0 0
134 349 203 72.41 24.63 2.96 0 0 0 0
135 346 202 85.64 12.87 1.49 0 0 0 0
136 347 212 75.47 23.58 0.94 0 0 0 0
137 349 222 78.38 19.82 1.8 0 0 0 0
138 346 204 74.38 23.65 1.97 0 0.49 0 0
139 349 224 79.02 18.75 2.23 0 0 0 0
140 343 211 79.52 18.57 1.9 0 0.48 0 0
141 346 237 77.54 20.34 2.12 0 0.42 0 0
142 343 230 69.13 26.96 3.91 0 0 0 0
143 345 227 66.52 30.36 3.13 0 1.34 0 0
144 345 217 66.2 32.87 0.93 0 0 0.46 0
145 346 234 66.38 29.69 3.93 0 2.18 0 0
146 343 231 67.1 28.14 4.76 0 0 0 0
147 346 228 66.52 29.52 3.96 0 0.44 0 0
148 344 234 67.67 29.74 2.59 0 0.86 0 0
149 344 221 71.69 24.66 3.65 0 0.91 0 0
150 340 219 68.81 27.06 4.13 0 0.46 0 0
151 347 225 68 29.33 2.67 0 0 0 0
152 342 219 56.62 37.44 5.94 0 0 0 0
153 344 200 62.76 33.67 3.57 0 2.04 0 0
154 344 229 67.98 28.95 3.07 0 0.44 0 0
155 342 207 66.99 28.64 4.37 0 0.49 0 0
156 348 228 69.64 28.13 2.23 0 1.34 0 0.45
157 343 224 64.73 33.04 2.23 0 0 0 0
