comuna,mesa,sum(registrados),sum(votaron),sum(pro),sum(eco),sum(blanco),sum(impugnado),sum(nulo),sum(recurrido),sum(tecnico)
15,7099,2781,1968,804,1010,137,0,12,0,5
15,7107,3453,2386,992,1217,143,4,29,0,1
15,7112,3829,2614,1123,1312,146,0,31,2,0
15,7123,2064,1454,586,741,108,0,19,0,0
15,7129,5474,3744,1483,1983,233,0,43,0,2
15,7145,1714,1168,486,578,72,0,30,1,1
15,7150,3085,2136,859,1121,131,0,25,0,0
15,7159,2399,1644,660,839,114,0,29,0,2
15,7166,2344,1551,685,732,107,0,27,0,0
15,7172,4466,3034,1254,1526,201,0,53,0,0
15,7190,4529,3221,1525,1484,180,0,30,1,1
15,7203,3146,2285,1051,1095,118,0,21,0,0
15,7212,2802,2006,936,952,101,0,17,0,0
15,7220,2450,1741,828,806,93,0,14,0,0
15,7227,2096,1515,654,767,82,0,12,0,0
15,7233,2791,2049,929,974,119,0,27,0,0
15,7241,1397,1008,454,492,52,0,10,0,0
15,7245,1399,993,458,478,49,0,8,0,0
15,7249,2417,1757,750,893,94,2,18,0,0
15,7256,2411,1764,779,874,93,0,16,0,2
15,7263,3450,2592,1055,1377,140,0,20,0,0
15,7273,3800,2783,1106,1483,157,0,37,0,0
15,7284,4138,3074,1233,1632,181,3,24,0,1
15,7296,2416,1789,805,880,88,0,15,0,1
15,7303,3109,2365,1084,1146,112,0,20,0,3
15,7312,3108,2351,1140,1088,100,0,23,0,0
15,7321,2706,1940,860,960,96,0,24,0,0
15,7328,1728,1285,589,621,62,3,9,0,1
